,lat_centroid,lon_centroid,year,month
30990,38.02496059839471,-87.58581620626452,2022,4
30991,38.02496059839471,-87.58581620626452,2022,5
30992,38.02496059839471,-87.58581620626452,2022,6
30993,38.02496059839471,-87.58581620626452,2022,7
30994,38.02496059839471,-87.58581620626452,2022,8
30995,38.02496059839471,-87.58581620626452,2022,9
30996,38.02496059839471,-87.58581620626452,2022,10
30997,38.02496059839471,-87.58581620626452,2021,4
31004,38.02496059839471,-87.58581620626452,2020,4
31011,38.02496059839471,-87.58581620626452,2019,10
31026,38.02496059839471,-87.58581620626452,2016,4
31027,38.02496059839471,-87.58581620626452,2016,5
31028,38.02496059839471,-87.58581620626452,2016,6
31058,38.02496059839471,-87.58581620626452,2012,8
31059,38.02496059839471,-87.58581620626452,2012,9
31060,38.02496059839471,-87.58581620626452,2012,10
31075,38.02496059839471,-87.58581620626452,2009,4
31076,38.02496059839471,-87.58581620626452,2009,5
31077,38.02496059839471,-87.58581620626452,2009,6
31081,38.02496059839471,-87.58581620626452,2009,10
31082,38.02496059839471,-87.58581620626452,2008,4
31088,38.02496059839471,-87.58581620626452,2008,10
31093,38.02496059839471,-87.58581620626452,2007,8
31094,38.02496059839471,-87.58581620626452,2007,9
31095,38.02496059839471,-87.58581620626452,2007,10
31096,38.02496059839471,-87.58581620626452,2006,4
31097,38.02496059839471,-87.58581620626452,2006,5
31102,38.02496059839471,-87.58581620626452,2006,10
31117,38.02496059839471,-87.58581620626452,2003,5
31118,38.02496059839471,-87.58581620626452,2003,6
31119,38.02496059839471,-87.58581620626452,2003,7
31120,38.02496059839471,-87.58581620626452,2003,8
31123,38.02496059839471,-87.58581620626452,2002,4
31124,38.02496059839471,-87.58581620626452,2002,5
31125,38.02496059839471,-87.58581620626452,2002,6
31126,38.02496059839471,-87.58581620626452,2002,7
31127,38.02496059839471,-87.58581620626452,2002,8
31128,38.02496059839471,-87.58581620626452,2001,4
31129,38.02496059839471,-87.58581620626452,2001,5
31130,38.02496059839471,-87.58581620626452,2001,6
31131,38.02496059839471,-87.58581620626452,2001,7
31132,38.02496059839471,-87.58581620626452,2001,8
31133,38.02496059839471,-87.58581620626452,2001,9
31134,38.02496059839471,-87.58581620626452,2001,10
31135,38.02496059839471,-87.58581620626452,2000,4
31136,38.02496059839471,-87.58581620626452,2000,5
31137,38.02496059839471,-87.58581620626452,2000,6
31138,38.02496059839471,-87.58581620626452,2000,7
31139,38.02496059839471,-87.58581620626452,2000,8
31140,38.02496059839471,-87.58581620626452,2000,9
31141,38.02496059839471,-87.58581620626452,2000,10
31149,38.09217364959559,-87.27208736549613,2022,4
31150,38.09217364959559,-87.27208736549613,2022,5
31151,38.09217364959559,-87.27208736549613,2022,6
31152,38.09217364959559,-87.27208736549613,2022,7
31153,38.09217364959559,-87.27208736549613,2022,8
31154,38.09217364959559,-87.27208736549613,2022,9
31155,38.09217364959559,-87.27208736549613,2022,10
31156,38.09217364959559,-87.27208736549613,2020,4
31163,38.09217364959559,-87.27208736549613,2019,10
31178,38.09217364959559,-87.27208736549613,2016,4
31179,38.09217364959559,-87.27208736549613,2016,5
31180,38.09217364959559,-87.27208736549613,2016,6
31210,38.09217364959559,-87.27208736549613,2012,8
31211,38.09217364959559,-87.27208736549613,2012,9
31212,38.09217364959559,-87.27208736549613,2012,10
31227,38.09217364959559,-87.27208736549613,2009,4
31228,38.09217364959559,-87.27208736549613,2009,5
31229,38.09217364959559,-87.27208736549613,2009,6
31233,38.09217364959559,-87.27208736549613,2009,10
31234,38.09217364959559,-87.27208736549613,2008,4
31240,38.09217364959559,-87.27208736549613,2008,10
31245,38.09217364959559,-87.27208736549613,2007,8
31246,38.09217364959559,-87.27208736549613,2007,9
31247,38.09217364959559,-87.27208736549613,2007,10
31248,38.09217364959559,-87.27208736549613,2006,4
31249,38.09217364959559,-87.27208736549613,2006,5
31254,38.09217364959559,-87.27208736549613,2006,10
31269,38.09217364959559,-87.27208736549613,2003,5
31270,38.09217364959559,-87.27208736549613,2003,6
31271,38.09217364959559,-87.27208736549613,2003,7
31272,38.09217364959559,-87.27208736549613,2003,8
31275,38.09217364959559,-87.27208736549613,2002,4
31276,38.09217364959559,-87.27208736549613,2002,5
31277,38.09217364959559,-87.27208736549613,2002,6
31278,38.09217364959559,-87.27208736549613,2002,7
31279,38.09217364959559,-87.27208736549613,2002,8
31280,38.09217364959559,-87.27208736549613,2001,4
31281,38.09217364959559,-87.27208736549613,2001,5
31282,38.09217364959559,-87.27208736549613,2001,6
31283,38.09217364959559,-87.27208736549613,2001,7
31284,38.09217364959559,-87.27208736549613,2001,8
31285,38.09217364959559,-87.27208736549613,2001,9
31286,38.09217364959559,-87.27208736549613,2001,10
31287,38.09217364959559,-87.27208736549613,2000,4
31288,38.09217364959559,-87.27208736549613,2000,5
31289,38.09217364959559,-87.27208736549613,2000,6
31290,38.09217364959559,-87.27208736549613,2000,7
31291,38.09217364959559,-87.27208736549613,2000,8
31292,38.09217364959559,-87.27208736549613,2000,9
31293,38.09217364959559,-87.27208736549613,2000,10
31301,39.19623153578476,-86.22737678006368,2021,4
31302,39.19623153578476,-86.22737678006368,2021,5
