,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
2336,2110:MS:SCAN,2110,MS,SCAN,Mayday,GC,Yazoo,080302060902,100.0,32.86153,-90.51989,-6.0,32626,MAYM6,2005-09-23 00:00,2100-01-01 00:00
2347,2075:TN:SCAN,2075,TN,SCAN,McAllister Farm,GC,Lincoln,060300020302,940.0,35.06445,-86.59137,-6.0,30332,MCAT1,2003-06-02 00:00,2100-01-01 00:00
2354,2140:UT:SCAN,2140,UT,SCAN,Mccracken Mesa,GC,San Juan,140802010508,5310.0,37.44671,-109.33776,-7.0,34636,RACU1,2007-09-19 00:00,2100-01-01 00:00
2433,2129:UT:SCAN,2129,UT,SCAN,Milford,GC,Beaver,160300070406,5000.0,38.34196,-113.01053,-7.0,34113,MFRU1,2007-05-12 00:00,2100-01-01 00:00
2472,2232:PR:SCAN,2232,PR,SCAN,Miradero,GC,UNKNOWN,210100030302,130.0,18.21139,-67.13454,-4.0,21400,AYGP4,2022-05-04 00:00,2100-01-01 00:00
2498,2119:MT:SCAN,2119,MT,SCAN,Moccasin,GC,Judith Basin,100401030508,4250.0,47.05818,-109.95082,-7.0,33996,MSCM8,2006-10-21 00:00,2100-01-01 00:00
2503,2014:OH:SCAN,2014,OH,SCAN,Molly Caren #1,GC,Madison,050600020102,1030.0,39.95,-83.45,-5.0,19347,MOLO1,1993-10-01 00:00,2100-01-01 00:00
2511,2217:CA:SCAN,2217,CA,SCAN,Monocline Ridge,GC,Fresno,180300090904,890.0,36.54417,-120.55463,-8.0,,RGMC1,2014-10-29 00:00,2100-01-01 00:00
2529,2062:AK:SCAN,2062,AK,SCAN,Moose Inc,GC,Kenai Peninsula,190203010806,110.0,59.68881,-151.37108,-9.0,,MOIA2,2002-05-06 00:00,2100-01-01 00:00
2538,2133:UT:SCAN,2133,UT,SCAN,Morgan,GC,Morgan,160201020106,5120.0,40.9999,-111.68555,-7.0,34633,MRGU1,2007-05-17 00:00,2100-01-01 00:00
2545,2178:AL:SCAN,2178,AL,SCAN,Morris Farms,GC,Macon,031501100504,220.0,32.41222,-85.91028,-6.0,70254,MRSA1,2010-04-13 00:00,2100-01-01 00:00
2581,2041:VT:SCAN,2041,VT,SCAN,Mount Mansfield,GC,Chittenden,041504050201,2310.0,44.53509,-72.83451,-5.0,25911,MMSV1,2000-09-13 00:00,2100-01-01 00:00
2594,2134:UT:SCAN,2134,UT,SCAN,Mountain Home,GC,Duchesne,140600030802,6930.0,40.37263,-110.40602,-7.0,34631,MHMU1,2007-09-11 00:00,2100-01-01 00:00
2606,2060:MO:SCAN,2060,MO,SCAN,Mt Vernon,GC,Lawrence,110702070107,1230.0,37.073,-93.88158,-6.0,28843,MVEM7,2002-03-27 00:00,2100-01-01 00:00
2650,2039:VA:SCAN,2039,VA,SCAN,N Piedmont Arec,GC,Orange,020801060501,550.0,38.23333,-78.11667,-5.0,,NPAV2,2000-06-08 00:00,2100-01-01 00:00
2653,2228:TX:SCAN,2228,TX,SCAN,Nacogdoches,GC,Nacogdoches,120200040705,240.0,31.504,-94.75994,-6.0,TX347,ANFT2,2018-04-26 00:00,2100-01-01 00:00
2669,2137:UT:SCAN,2137,UT,SCAN,Nephi,GC,Juab,160202010101,5250.0,39.64554,-111.87044,-7.0,34632,NPIU1,2007-09-14 00:00,2100-01-01 00:00
2737,2087:MS:SCAN,2087,MS,SCAN,North Issaquena,GC,Issaquena,080302090304,110.0,32.9972,-91.05993,-6.0,31332,NORM6,2004-02-10 00:00,2100-01-01 00:00
2761,2017:CO:SCAN,2017,CO,SCAN,Nunn #1,GC,Weld,101900080301,5470.0,40.85989,-104.74033,-7.0,18289,NUNC2,1993-10-20 00:00,2100-01-01 00:00
2799,2033:MS:SCAN,2033,MS,SCAN,Onward,GC,Sharkey,080302090605,100.0,32.75358,-90.94208,-6.0,24680,OONM6,1999-09-17 00:00,2100-01-01 00:00
2803,674:ID:SCAN,674,ID,SCAN,Orchard Range Site,GC,Ada,170501010901,3190.0,43.32268,-115.99643,-7.0,,ORRI1,1983-10-01 00:00,2100-01-01 00:00
2845,2157:UT:SCAN,2157,UT,SCAN,Panguitch,GC,Garfield,160300010502,6530.0,37.86975,-112.43437,-7.0,40637,PNGU1,2010-01-25 00:00,2100-01-01 00:00
2862,2153:UT:SCAN,2153,UT,SCAN,Park Valley,GC,Box Elder,160203081407,5100.0,41.77318,-113.28596,-7.0,43922,PVLU1,2010-01-14 00:00,2100-01-01 00:00
2893,2037:SC:SCAN,2037,SC,SCAN,Pee Dee,GC,Darlington,030402010809,120.0,34.3,-79.73333,-5.0,,PDDS1,1999-11-15 09:00,2100-01-01 00:00
2901,2181:AL:SCAN,2181,AL,SCAN,Perdido Riv Farms,GC,Escambia,031401060101,300.0,31.10923,-87.55277,-6.0,39762,PRDA1,2010-05-08 00:00,2100-01-01 00:00
2904,2046:MS:SCAN,2046,MS,SCAN,Perthshire,GC,Bolivar,080302071101,150.0,33.9737,-90.90496,-6.0,27796,PERM6,2002-04-16 00:00,2100-01-01 00:00
2917,2093:KS:SCAN,2093,KS,SCAN,Phillipsburg,GC,Phillips,102600120103,1980.0,39.78638,-99.32953,-6.0,31339,PHBK1,2004-06-23 09:00,2100-01-01 00:00
2940,2144:NV:SCAN,2144,NV,SCAN,Pine Nut,GC,Clark,150100150202,6780.0,36.57285,-115.20422,-8.0,2144,NUTN2,2007-10-27 00:00,2100-01-01 00:00
3012,2049:MD:SCAN,2049,MD,SCAN,Powder Mill,GC,Prince George's,020700100203,130.0,39.01667,-76.85,-5.0,27253,PWDM2,2001-10-30 00:00,2100-01-01 00:00
